idtram,nombre,secretaria,dependencia,visitas_totales,year
3318,"Espacios de alimentación, encuentro y desarrollo",Zimapán,Ayuntamiento de Zimapán,75,2023
6069,Constancia de Ingresos,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,75,2023
6196,Préstamo de ambulancia para eventos o traslados programados,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,75,2023
6860,Vinculación con Organismos Internacionales,Secretaría de Desarrollo Económico,Corporación Internacional Hidalgo,74,2023
1667,Reincripción Nivel Licenciatura Bilingüe,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,74,2023
6120,Consulta General,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,74,2023
5362,Autorización de Cierre de Calles,Tolcayuca,Ayuntamiento de Tolcayuca,74,2023
6447,Actividades Educativas,Tizayuca,Ayuntamiento de Tizayuca,74,2023
8192,Avalúo Catastral,Chapulhuacán,Ayuntamiento de Chapulhuacán,74,2023
6154,Constancia de no infracción,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,74,2023
6170,Seguridad Pública Municipal,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,74,2023
7680,Pensiones Alimenticias,Mineral del Chico,Ayuntamiento de Mineral del Chico,74,2023
4292,Constancia de inexistencia de matrimonio,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,74,2023
5682,Apoyos Económicos,Epazoyucan,Ayuntamiento de Epazoyucan,73,2023
4100,Licencia comercial y renovación.,Chilcuautla,Ayuntamiento de Chilcuautla,73,2023
6771,Talleres de sensibilización en barrios y colonias de Pachuca (CADUCADO),Pachuca de Soto,Ayuntamiento de Pachuca de Soto,73,2023
6217,Becas para el fomento educativo de las mujeres hidalguenses.,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,73,2023
816,"Rehabilitación, Modernización, Tecnificación y Equipamiento de Unidades de Riego.",Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,73,2023
6221,Apoyos Asistenciales a Mujeres Otorgadas,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,73,2023
4123,Copia Certificada de Acta de Defunción,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,73,2023
5729,Atención a la Población en Condiciones de Emergencia,Santiago Tulantepec,Ayuntamiento de Santiago Tulantepec,73,2023
9100,Tarjetas de salud,Tepeji del Río de Ocampo,Ayuntamiento de Tepeji del Río de Ocampo,73,2023
9027,Becas,Jaltocán,Ayuntamiento de Jaltocán,73,2023
1277,Peticiones formuladas al Gobernador,Secretaría Ejecutiva de la Política Pública Estatal,Secretaría Ejecutiva de la Política Pública Estatal,72,2023
6095,Permiso para baile,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,72,2023
5986,Actualización de la Lista de Deposito de Sucesores.,Xochiatipan,Ayuntamiento de Xochiatipan,72,2023
3945,Expedición de la credenciales INAPAM,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,72,2023
3337,Búsqueda de antecedentes registrales.,Zimapán,Ayuntamiento de Zimapán,71,2023
4326,Registro de Nacimiento,Tolcayuca,Ayuntamiento de Tolcayuca,71,2023
1570,Transporte Especializado de Leche,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,71,2023
5861,Capacitaciones,Tizayuca,Ayuntamiento de Tizayuca,71,2023
3984,Acta informativa de extravío de pasaporte,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,71,2023
1212,Reinscripción Nivel Posgrado,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,71,2023
6551,Actividades Culturales En Bibliotecas,Tizayuca,Ayuntamiento de Tizayuca,71,2023
660,Corporación Internacional Hidalgo.- Proyecto de Inversion,Secretaría de Desarrollo Económico,Corporación Internacional Hidalgo,71,2023
1421,"Difusión y Divulgación de Eventos y Actividades de Ciencia, Tecnología e Innovación de Hidalgo",Organismos No Sectorizados,"Consejo de Ciencia, Tecnología e Innovación de Hidalgo (CITNOVA)",71,2023
5788,Consulta Medica General Gratuita.,Tizayuca,Ayuntamiento de Tizayuca,71,2023
8696,"Cambio de propietario de la Placa o Licencia de Funcionamiento (bajo, mediano y alto riesgo).",Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,71,2023
2281,Becas W-15 19 Escuelas Primarias correspondientes a la zona 25 y 135 de nivel Telesecundaria,Zacualtipán,Ayuntamiento de Zacualtipán,70,2023
2913,"Expedición de Copia Certificada de Actas (Nacimiento, Matrimonio, Defunción, Reconocimiento de Hijos, Adopción, Divorcio)",Cardonal,Ayuntamiento de Cardonal,70,2023
5793,Búsqueda y Copia de Licencia de Alineamiento.,Tizayuca,Ayuntamiento de Tizayuca,70,2023
7325,Acta de Defunción,Zacualtipán,Ayuntamiento de Zacualtipán,70,2023
3830,Expedición de Avalúo catastral,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,70,2023
6046,Derribo de árboles (Carta de no Inconveniente),San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,70,2023
3462,Refrendo de Fierro Quemador,Pacula,Ayuntamiento de Pacula,70,2023
1783,Expedición de Actas,Actopan,Ayuntamiento de Actopan,70,2023
9498,Supervisiones Físico-Oculares para obtención de Visto Bueno y/o Dictamen Técnico de Viabilidad,Santiago Tulantepec,Ayuntamiento de Santiago Tulantepec,70,2023
1389,"Compensación de Impuestos Estatales sobre Nóminas, Hospedaje y Honorarios",Secretaría de Hacienda,Secretaría de Hacienda,69,2023
914,Periódico Ofertas De Empleo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,69,2023
1362,Distintivos de calidad,Secretaría de Turismo,Secretaría de Turismo,69,2023
5533,Alta en el Sistema de Cobro Catastral,Epazoyucan,Ayuntamiento de Epazoyucan,69,2023
6157,Block Termico Premex,Tizayuca,Ayuntamiento de Tizayuca,69,2023
1640,Examen remedial UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,69,2023
3197,Mantenimiento y reparación de red de drenaje y pozos de visita,Zimapán,Ayuntamiento de Zimapán,69,2023
8710,Aviso de Funcionamiento y de Responsable Sanitario del Establecimiento de Insumos para la Salud. Modalidad E. Comercio al por menor de Dispositivos Médicos o Remedios Herbolarios.,Secretaría de Salud,Secretaría de Salud,69,2023
6977,Tramites de Registro Civil,San Felipe Orizatlán,Ayuntamiento de San Felipe Orizatlán,69,2023
5879,Aplicación de Estiércol en Las Parcelas.,Tizayuca,Ayuntamiento de Tizayuca,68,2023
3988,Acta Informativa de antecedentes de hechos,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,68,2023
5790,Búsqueda y Entrega de la Cartilla Militar.,Tizayuca,Ayuntamiento de Tizayuca,68,2023
3293,Convenios.,Zimapán,Ayuntamiento de Zimapán,68,2023
4312,Búsqueda de documento en el Archivo Municipal,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,68,2023
4290,Permiso para la instalación de comercio fijo y semi- fijo en la vía pública.,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,68,2023
5115,Constancia de residencia.,Tepeapulco,Ayuntamiento de Tepeapulco,68,2023
8970,Asesoría Legal en Materia Notarial,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,68,2023
7912,Beca académica para útiles escolares,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,67,2023
4139,Becas para el Fomento Educativo de las Mujeres Hidalguenses,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,67,2023
3878,Placa de funcionamiento sin venta de alcohol,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,67,2023
3876,Reconexión de toma de agua,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,67,2023
4986,Avalúo Catastral,Almoloya,Ayuntamiento de Almoloya,67,2023
3298,Constitución de sociedades cooperativas,Zimapán,Ayuntamiento de Zimapán,67,2023
3261,Credencial de Biblioteca.,Zimapán,Ayuntamiento de Zimapán,67,2023
5300,Servicio de Consulta,Actopan,Ayuntamiento de Actopan,67,2023
8869,Solicitud de Información,Tlaxcoapan,Ayuntamiento de Tlaxcoapan,67,2023
8974,Aviso de terminación de obra,Actopan,Ayuntamiento de Actopan,67,2023
3331,Taller salud sexual y reproductiva,Zimapán,Ayuntamiento de Zimapán,66,2023
3488,Asesoría a los comités de obras.,Pacula,Ayuntamiento de Pacula,66,2023
6090,Recibo,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,66,2023
4901,Inscripción y Actualización de la UPP,Almoloya,Ayuntamiento de Almoloya,66,2023
3213,Capacitaciones para el autoempleo a mujeres,Zimapán,Ayuntamiento de Zimapán,66,2023
6230,Gestión y Orientación de Programas Federales.,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,66,2023
4294,Permisos para ferias y bailes públicos.,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,66,2023
8125,Mantenimiento de alumbrado público,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,66,2023
4172,Acta Informativa,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,66,2023
3111,Programa de pensión para adultos mayores 65 y Mas,Alfajayucan,Ayuntamiento de Alfajayucan,65,2023
4052,"Constancia de no infracción de licencia de conducir, placa del vehículo y tarjeta de circulación",Chilcuautla,Ayuntamiento de Chilcuautla,65,2023
823,Canje de Placas de Vehículo del Servicio Particular,Secretaría de Hacienda,Secretaría de Hacienda,65,2023
4823,Convocatoria Poder Joven Radio y Tv,Secretaría de Bienestar e Inclusión Social,Instituto Hidalguense de la Juventud,65,2023
6038,Inscripción de divorcio,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,65,2023
6094,Cartilla de servicio militar,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,65,2023
6126,Instalación de Drenaje y alcantarillado,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,65,2023
6213,Jornadas Médicas,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,65,2023
5368,Constancias de Productor,Epazoyucan,Ayuntamiento de Epazoyucan,65,2023
3122,Jornadas médicas / gestión para condonación y/o descuento,Zimapán,Ayuntamiento de Zimapán,65,2023
6039,Inscripción de reconocimiento de hijo,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,65,2023
586,Consulta al Sistema de Información Geográfica del Agua del Estado de Hidalgo (SIGAEH),Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Agua y Alcantarillado,65,2023
9091,Registro de nacimiento,Tepeji del Río de Ocampo,Ayuntamiento de Tepeji del Río de Ocampo,65,2023
4050,Pensión para Adultos Mayores,Chilcuautla,Ayuntamiento de Chilcuautla,64,2023
6462,Cobro del Predial,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,64,2023
5217,Licencia de Construcción,Chilcuautla,Ayuntamiento de Chilcuautla,64,2023
4280,Inscripción de acta de defunción,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,64,2023
1779,Convenio de Desarrollo Social\n,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,64,2023
3433,Pago de Impuesto Predial,Pacula,Ayuntamiento de Pacula,64,2023
6166,Despensas Alimenticias,Tizayuca,Ayuntamiento de Tizayuca,64,2023
4011,Orientación y apoyo en la obtención del pasaporte americano,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,64,2023
6127,Recolección de Basura,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,64,2023
3260,Constancia de radicación,Zimapán,Ayuntamiento de Zimapán,64,2023
4021,Inscripción de Reconocimiento,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,64,2023
4190,Acta Informativa de extravío,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,64,2023
7653,Asesoría Psicológica y/o Consejería,Mineral del Chico,Ayuntamiento de Mineral del Chico,64,2023
2253,Becas académicas,Zacualtipán,Ayuntamiento de Zacualtipán,63,2023
1032,Programa de Impulso a la Producción y Productividad de la Población Vulnerable (PROIMPROD),Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDPI),63,2023
1475,Arrendamiento de Instalaciones Del Recinto Ferial,Secretaría de Turismo,Operadora de Eventos del Estado de Hidalgo,63,2023
8195,Vinculación a Bolsa de Trabajo,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,63,2023
4272,Constancia de dependencia economica,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,63,2023
6060,Área De Prevención Y Orientación,Tizayuca,Ayuntamiento de Tizayuca,63,2023
3281,3 X 1 para migrantes,Zimapán,Ayuntamiento de Zimapán,63,2023
4821,Vinculación de Jóvenes con Instituciones Públicas y Privadas,Secretaría de Bienestar e Inclusión Social,Instituto Hidalguense de la Juventud,63,2023
8199,Constancia de Valor Fiscal,Chapulhuacán,Ayuntamiento de Chapulhuacán,63,2023
6165,Rollos De Impermeabilizante,Tizayuca,Ayuntamiento de Tizayuca,63,2023
3018,Cobro del impuesto predial,Tasquillo,Ayuntamiento de Tasquillo,62,2023
4184,Acta Informativa de Extravió de Tarjeta de Circulación,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,62,2023
5280,Búsqueda de documentos en Archivo (Catastro),Tolcayuca,Ayuntamiento de Tolcayuca,62,2023
3129,Autorización de relotificación de fraccionamiento subdivisión.,Zimapán,Ayuntamiento de Zimapán,62,2023
5935,Acompañamiento,Epazoyucan,Ayuntamiento de Epazoyucan,62,2023
3966,Acta informativa de extravió de tarjeta de circulación,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,62,2023
4349,Registro de Reconocimiento de Hijo(a),Tolcayuca,Ayuntamiento de Tolcayuca,62,2023
6242,Proyecto Productivo,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,62,2023
3223,Constancia de identidad de persona.,Zimapán,Ayuntamiento de Zimapán,62,2023
3198,Autorización para venta de lotes.,Zimapán,Ayuntamiento de Zimapán,62,2023
6176,Orientación Ciudadana al Área de Desarrollo Agropecuario.,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,62,2023
4119,Cursos de capacitación para el autoempleo del municipio por parte de instructores capacitados.,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,62,2023
8200,Vinculación para la obtención de Financiamientos,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,62,2023
3447,Reconexión de tomas y reparación de fugas,Pacula,Ayuntamiento de Pacula,62,2023
8281,Registro de defunción,Chapulhuacán,Ayuntamiento de Chapulhuacán,62,2023
9418,Solicitud de podas y talas de árboles,Tepeapulco,Ayuntamiento de Tepeapulco,62,2023
5011,Constancia de No Infracción,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,61,2023
2900,B- Mujer,Cardonal,Ayuntamiento de Cardonal,61,2023
1304,Régimen Intermedio,Secretaría de Hacienda,Secretaría de Hacienda,61,2023
819,Acreditación,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,61,2023
5933,Becas Mujer,Epazoyucan,Ayuntamiento de Epazoyucan,61,2023
3303,Apoyos en general.,Zimapán,Ayuntamiento de Zimapán,61,2023
4008,Constancia de Terminación de Obra,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,61,2023
6035,Inscripción de Acta de Nacimiento,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,61,2023
3317,Alineamiento.,Zimapán,Ayuntamiento de Zimapán,61,2023
3927,Expedición de acta certificada de divorcio,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,61,2023
3201,Inscripción de anotación marginal.,Zimapán,Ayuntamiento de Zimapán,61,2023
6103,Certificaciones (Copias certificadas de actas de ratificaciones de contratos),San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,61,2023
1079,Buzón de Quejas y Sugerencias,Procuraduría General de Justicia,Procuraduría General de Justicia,61,2023
6041,Inscripción de Acta de Nacimiento Extemporáneo,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,61,2023
4269,Permiso de Inhumación,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,61,2023
5028,Constancia de Identidad,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,61,2023
8894,Baja de Padrón,Tlaxcoapan,Ayuntamiento de Tlaxcoapan,61,2023
9246,PAGO DE IMPUESTO PREDIAL,La Misión,Ayuntamiento de La Misión,61,2023
1539,Expedición de diversas constancias,Secretaría de Hacienda,Instituto Catastral,60,2023
3214,Activación física.,Zimapán,Ayuntamiento de Zimapán,60,2023
4082,Traslado de dominio.,Chilcuautla,Ayuntamiento de Chilcuautla,60,2023
4672,ALINEMIENTO Y NÚMERO OFICIAL,Santiago Tulantepec,Ayuntamiento de Santiago Tulantepec,60,2023
4281,Inscripción de acta de divorcio,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,60,2023
6173,Puestas a disposición.,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,60,2023
4030,"Instalación, reubicación, sustitución y retiro de Alumbrado Público",Ixmiquilpan,Ayuntamiento de Ixmiquilpan,60,2023
9918,Garantias del Interes Fiscal (Federal),Secretaría de Hacienda,Secretaría de Hacienda,60,2023
5919,Licencias de Comercio.,Xochiatipan,Ayuntamiento de Xochiatipan,59,2023
1420,Representación Legal a Beneficiarios,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,59,2023
3274,"Constancia de no Afectación de Áreas Verdes, Bienes de Dominio Público y/o Servidumbres de paso.",Zimapán,Ayuntamiento de Zimapán,59,2023
1913,Conferencias y Pláticas para la Prevención de la Violencia y Equidad de Género,Almoloya,Ayuntamiento de Almoloya,59,2023
5505,Avalúo Catastral Provisional,Epazoyucan,Ayuntamiento de Epazoyucan,59,2023
2780,Actas de extravió,Cuautepec,Ayuntamiento de Cuautepec,59,2023
3203,Recolección de residuos sólidos urbanos,Zimapán,Ayuntamiento de Zimapán,59,2023
3176,"Actividades varias del departamento de Protección Civil. (poda de arboles, combate de avispas, atención a la ciudadanía, apoyos a otros departamentos)",Zimapán,Ayuntamiento de Zimapán,59,2023
3464,Asesoría en proyectos productivos.,Pacula,Ayuntamiento de Pacula,59,2023
3316,Asignación de número oficial.,Zimapán,Ayuntamiento de Zimapán,59,2023
3852,Cursos y talleres,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,59,2023
3825,Prórrogas de Permiso de Construcción,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,59,2023
4347,Registro de Extranjería,Tolcayuca,Ayuntamiento de Tolcayuca,59,2023
5196,Relleno Sanitario,Actopan,Ayuntamiento de Actopan,59,2023
3292,Acta de extravío de documentos parcelarios.,Zimapán,Ayuntamiento de Zimapán,58,2023
3835,Asesoría Jurídica a mujeres,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,58,2023
6585,Gestión De Credencial Para Personas Con Discapacidad Que Emite Dif Nacional,Tizayuca,Ayuntamiento de Tizayuca,58,2023
4302,Refrendos por inhumación.,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,58,2023
3912,Acta informativa,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,58,2023
3171,Suministro de agua potable por medio de pipas,Zimapán,Ayuntamiento de Zimapán,58,2023
3997,Recolección de Residuos Sólidos (basura),Ixmiquilpan,Ayuntamiento de Ixmiquilpan,58,2023
4570,Acta de Matrimonio,Tecozautla,Ayuntamiento de Tecozautla,58,2023
855,Cambio de propietario (impuesto sobre adquisición de vehículos usados.)\n,Secretaría de Hacienda,Secretaría de Hacienda,57,2023
524,Elaboración de oficio(orden de pago) para el cobro de Multas Administrativas Federales No Fiscales,Secretaría de Hacienda,Secretaría de Hacienda,57,2023
920,Subprograma Repatriados Trabajando,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,57,2023
1624,Bases para Licitación,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,57,2023
5869,Capacitación a Población Abierta.,Tizayuca,Ayuntamiento de Tizayuca,57,2023
3196,Expedición de boletas para autorización de defunción.,Zimapán,Ayuntamiento de Zimapán,57,2023
6072,GESTIÓN,Tizayuca,Ayuntamiento de Tizayuca,57,2023
5799,Liberación de Vehículo Por Octicco de MP.,Tizayuca,Ayuntamiento de Tizayuca,57,2023
4031,Constancia de derecho del tanto,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,57,2023
5339,Afiliación al seguro de vida para jefas de familia,Tolcayuca,Ayuntamiento de Tolcayuca,57,2023
5877,Inscripción de Matrimonio a domicilio,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,57,2023
6587,Inscripción a Cursos De Autoempleo,Tizayuca,Ayuntamiento de Tizayuca,57,2023
1615,Asesorías Financieras zona 1,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,57,2023
3232,Recepción de animales bovinos y porcinos para sacrificio,Zimapán,Ayuntamiento de Zimapán,57,2023
3307,Constancia de no adeudo.,Zimapán,Ayuntamiento de Zimapán,57,2023
3846,Certificación de no adeudo,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,57,2023
7821,ASESORIA JURIDICA,Xochicoatlán,Ayuntamiento de Xochicoatlán,57,2023
4022,Inscripción de Nacimiento de Adulto Mayor,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,57,2023
8210,Registro de fierro de herrar,Chapulhuacán,Ayuntamiento de Chapulhuacán,57,2023
8466,Licencia de Funcionamiento (apertura),Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,57,2023
8973,Renovación de licencia de Construcción,Actopan,Ayuntamiento de Actopan,57,2023
3343,Factibilidad para servicio de agua potable y alcantarillado,Zimapán,Ayuntamiento de Zimapán,56,2023
5278,Pago de predial,Tolcayuca,Ayuntamiento de Tolcayuca,56,2023
5727,Calidad de vida en el adulto mayor.,Santiago Tulantepec,Ayuntamiento de Santiago Tulantepec,56,2023
3450,Contratación de Servicio por Toma de Agua Potable,Pacula,Ayuntamiento de Pacula,56,2023
7609,Acta Circunstanciada,Pacula,Ayuntamiento de Pacula,56,2023
5864,Feria de Empleo .,Tizayuca,Ayuntamiento de Tizayuca,56,2023
436,Fondo Estatal para la Cultura y las Artes de Hidalgo (FOECAH),Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,55,2023
4903,Proyectos Productivos,Almoloya,Ayuntamiento de Almoloya,55,2023
4665,CONTRATO DE PRESTACIÓN DE SERVICIO DE RECOLECCIÓN DE SERVICIOS SÓLIDOS MUNICIPALES.,Santiago Tulantepec,Ayuntamiento de Santiago Tulantepec,55,2023
3210,Apoyos Asistenciales a Mujeres,Zimapán,Ayuntamiento de Zimapán,55,2023
6241,Dictamen de riesgo en fabrica o terreno,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,55,2023
3181,"Fijar, pintar o rotular anuncios de naturaleza comercial.",Zimapán,Ayuntamiento de Zimapán,55,2023
7427,Historial académico EMEH,Secretaría de Cultura,Escuela de Música del Estado de Hidalgo,55,2023
7512,Infraestructura Básica(Suministro e Instalación de Fotoceldas),Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDPI),55,2023
5795,Búsqueda y Copia de Traslado de Cadáver.,Tizayuca,Ayuntamiento de Tizayuca,55,2023
6215,Programa de Atención a Menores y Adolescentes en Riesgo.,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,55,2023
7409,Fomento y Difusión de la Cultura de los Pueblos Indígenas,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDPI),55,2023
6148,Apoyo en especie para eventos deportivos.,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,55,2023
3541,Constancia de uso de suelo ( u otras emitidas por el departamento),Chapulhuacán,Ayuntamiento de Chapulhuacán,55,2023
8977,"Programa mi primer empleo, mi primer salario",Actopan,Ayuntamiento de Actopan,55,2023
9683,Expedición de actas certificas de los actos que obran en la oficialía,Santiago Tulantepec,Ayuntamiento de Santiago Tulantepec,55,2023
4667,AVALÚO CATASTRAL,Santiago Tulantepec,Ayuntamiento de Santiago Tulantepec,54,2023
3937,Elaboración de Estudios socioeconómicos,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,54,2023
5735,Ayudas Técnicas (Ayudas Funcionales),Santiago Tulantepec,Ayuntamiento de Santiago Tulantepec,54,2023
3893,Contratación del servicio de agua potable comercial,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,54,2023
7073,Reinscripción a Talleres Artísticos Libres del Centro de las Artes de Hidalgo,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,54,2023
6187,Información de convocatorias (Impulsar las actividades productivas y emprendedoras),San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,54,2023
3156,Autorización para ejercer el comercio de forma temporal (comerciante semifijo).,Zimapán,Ayuntamiento de Zimapán,54,2023
3174,Constancia de Ingresos,Zimapán,Ayuntamiento de Zimapán,54,2023
4972,Supervisiones e Inspecciones.,Almoloya,Ayuntamiento de Almoloya,54,2023
1669,Servicios Tecnológicos,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,54,2023
3184,Guía de tránsito,Zimapán,Ayuntamiento de Zimapán,54,2023
3883,Orientación y apoyo en el trámite de visa americana de turista y/o humanitaria,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,54,2023
4145,Jornada de vacunación o esterilización de perros y gatos,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,54,2023
6431,Constancia de Terminación de Obra,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,54,2023
2944,Apoyo en la formación de expedientes para ingreso al programa de vivienda (Recamara Adicional y Unidad Basica de Vivienda),Tasquillo,Ayuntamiento de Tasquillo,53,2023
3607,Registro De Matrimonio,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,53,2023
3589,Servicio Mensual De Agua Potable Industrial,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,53,2023
1568,Apoyo a la Comercialización y Producción de Leche en el Estado,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,53,2023
6473,Solicitud de Acceso a la Información Pública,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,53,2023
5985,Apoyo y Gestión,Epazoyucan,Ayuntamiento de Epazoyucan,53,2023
3959,Constancia de productor ganadero y/o agrícola,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,53,2023
4032,Clave Única de Registro de Población,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,53,2023
1331,Asesoría para el uso eficiente de la energía eléctrica en sistemas de bombeo de agua potable y riego agrícola.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,53,2023
3951,Esterilización de mascotas,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,53,2023
6197,Ayuda en caso de Desastre Natural,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,53,2023
3291,Acta de extravío de pasaporte.,Zimapán,Ayuntamiento de Zimapán,53,2023
8388,Cartilla del Servicio Militar Nacional.,Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,53,2023
4174,Permiso de Poda y Derribe de Árboles,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,53,2023
2011,PAGO DE IMPUESTO PREDIAL,Apan,Ayuntamiento de Apan,53,2023
9421,Registro de nacimiento,Tepeapulco,Ayuntamiento de Tepeapulco,53,2023
