Idtram,Nombre,Modalidad,Secretaria,Dependencia,Domicilio,Visitas RUTS
913,Inscripción UTT,Presencial,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,243
917,Admisión UTT,Presencial,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,715
944,Inscripción UPP,Presencial,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,3553
947,Reinscripción UPP,Presencial,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,636
954,Certificado de Normas Técnicas de Competencia Laboral en CONALEPH,Presencial,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle Lt 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,193
960,Autorización para el trabajo de mayores de 15 años y menores de 16,Presencial,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,1242
971,Cancelación de Actos Jurídicos (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,1321
973,Cotejo de documentos no autentificados que deben destinarse al apéndice (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,147
976,Depósito de Testamento Ológrafo (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,879
979,Inscripción a cursos de inglés,Presencial,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,1499
980,Devolución de un documento sin inscripción por causas no imputables al Registro Público de la Propiedad.,Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42084 Pachuca De Soto Pachuca De Soto,285
981,Constancias de estudios con calificaciones de Primaria General,Presencial,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,2312
983,Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,16239
986,Certificado de Inscripción (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Rio de las Avenidas 42094 Pachuca De Soto Pachuca De Soto,24431
987,Certificado de no Inscripción (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,2793
988,Certificado de no Propiedad (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,809
989,Certificado de Única Propiedad (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,262
991,Informes sobre Inscripción de Testamentos (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,815
992,Inscripción de accesión de construcciones (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,165
993,Inscripción de Accesión de Terrenos Rústicos (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,209
996,Inscripción de actas de asamblea de socios o juntas de administradores (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,1474
997,"Inscripción de Actos Mercantiles, Rectificación (Registro Público de la Propiedad y del Comercio)",Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,236
998,Inscripción de apeo o deslinde. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,3760
1000,Inscripción de aportaciones de bienes inmuebles. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,396
1002,Inscripción de compra-venta a plazos con reserva de dominio. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,352
1003,Inscripción de Contratos que transmiten la Propiedad de Muebles con Limitaciones. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,252
1004,"Inscripción de convenios para fraccionar, lotificar o subdividir un predio (zonas urbanas, residenciales e industriales). (Registro Público de la Propiedad y del Comercio)",Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,1733
1005,Inscripción de créditos refaccionarios de habilitación o avío agrícola. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,212
1006,Inscripción de cualquier clase de testamento. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,3847
1007,Inscripción de cualquier otro título registrable conforme a la Ley. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,109
1009,Inscripción de disolución de la sociedad conyugal en lo referente a bienes inmuebles. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,923
1010,Inscripción de división de copropiedad. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,526
1011,Inscripción de documentos de valor determinado referente a sociedades de producción rural. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,165
1013,"Inscripción de emisión de obligaciones, acciones, cédula y certificado de participación.. (Registro Público de la Propiedad y del Comercio)",Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,189
1014,Inscripción de Escrituras Constitutivas de Personas Morales o Modificaciones de Capital (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,2610
1023,Impartición de Justicia en Conflictos Laborales del Sector Privado,Presencial,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,8887
1024,Impartición de justicia de conflictos laborales del sector público,Presencial,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,2366
1025,Celebración de Convenios Fuera de Juicio de los trabajadores al Servicio de los Gobiernos Estatal y Municipal.,Presencial,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,258
1028,"Registro de Sindicatos, Expedición de la Toma de Nota y Registro de Condiciones Generales de Trabajo de los Sindicatos al Servicio de los Gobiernos Estatal y Municipal del Estado de Hidalgo.",Presencial,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,1421
1030,Tramitación de la Declaración de Beneficiarios de trabajadores al Servicio de los Gobiernos Estatal y Municipal.,Presencial,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,231
1036,Atención integral al hombre de 15 a 59 años de edad,Presencial,Secretaría de Salud,Secretaría de Salud,Avenida 405 Ex Hacienda de Guadalupe 42090 Pachuca De Soto Pachuca De Soto,1839
1037,Acuerdo que autoriza o niega el reconocimiento de validez oficial de estudios de tipo superior. (RVOE),Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Agustín Tlaxiaca San Agustín Tlaxiaca,614
1039,Atención integral al Adulto Mayor de 60 años,Presencial,Secretaría de Salud,Secretaría de Salud,Avenida 405 Ex Hacienda de Guadalupe 42090 Pachuca De Soto Pachuca De Soto,370
1040,Registro y cotejo de documentos de alumnos inscritos en nivel licenciatura y posgrado,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda la Concepción 42186 San Agustín Tlaxiaca San Agustín Tlaxiaca,
1041,Certificado Médico,Presencial,Secretaría de Salud,Secretaría de Salud,Avenida 405 Ex Hacienda Guadalupe 42090 Pachuca De Soto Pachuca De Soto,2022
1042,Examen de Laboratorio,Presencial,Secretaría de Salud,Secretaría de Salud,Avenida 405 Ex Hacienda de Guadalupe 42090 Pachuca De Soto Pachuca De Soto,2745
1043,Expedición de certificado de defunción,Presencial,Secretaría de Salud,Secretaría de Salud,Avenida 405 Ex Hacienda de Guadalupe 42090 Pachuca De Soto Pachuca De Soto,16128
1044,Inscripción de fusión de predios. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,645
1045,Inscripción de fusión de sociedades. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,593
1046,Inscripción de informaciones posesorías. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,445
1047,Inscripción de inmatriculación. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,1458
1048,Inscripción de la autorización para vender o gravar bienes de menores o incapaces. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,459
1050,Inscripción de la cancelación de créditos otorgados por Instituciones de crédito. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,111
1053,Inscripción de la modificación al Acta Constitutiva que no implique aumento de capital. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,1533
1056,Inscripción de limitaciones o gravámenes a la propiedad de inmuebles. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,502
1057,Inscripción de operaciones que limiten o graven bienes muebles. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,225
1058,Inscripción de Poderes Civiles y Sustituciones (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,1437
1059,Inscripción de poderes. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,254
1060,Regularización de la propiedad,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,1303
1061,Inscripción de providencias precautorias de carácter mercantil. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,299
1062,Inscripción de resoluciones de información Ad'perpetuam. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,606
1063,Inscripción de revocación o renuncia de poderes. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42084 Pachuca De Soto Pachuca De Soto,485
1065,Inscripción de suspensión de pagos o declaración de concursos. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,122
1066,Inscripción de todas las operaciones que impliquen transmisión de propiedad. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,638
1067,Inscripción del auto de ejecución de embargo. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,786
1068,Inscripción del régimen de propiedad en condominio. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,367
1070,Inscripción por asociación en participación. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,593
1071,Inscripción por Constitución del Patrimonio Familiar. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,647
1072,Salud mental comunitaria,Presencial,Secretaría de Salud,Secretaría de Salud,Avenida S/N Centro 43600 Tulancingo De Bravo Tulancingo De Bravo,2602
1073,Inscripción por Repudio de Herencia. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,1232
1074,Ratificación de firmas. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,1209
1075,Atención médica psiquiátrica,Presencial,Secretaría de Salud,Secretaría de Salud,Carretera Km. 62.5 San Miguel Eyacalco 43870 Tolcayuca Tolcayuca,25098
1081,Reinscripción ITESHU.,Presencial,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,Calle S/N El Saucillo 42411 Huichapan Huichapan,1066
1090,Inscripción de alumnos a educación primaria. (de 2° a 6° grado),Presencial,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,5657
1095,Patrocinio Jurídico.,Presencial,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,Calle 102 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,6473
1096,Sustitución del Cargo de Albacea. (Registro Público de la Propiedad y del Comercio),Presencial,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,111
1120,Acuerdo que autoriza o niega el Reconocimiento de Validez Oficial de Estudios del tipo Media Superior,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito lote 17 Ex hacienda La Concepción 42186 San Juan Tilcuautla San Agustín Tlaxiaca,
1121,Equivalencia de Estudios de Educación Media Superior,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex-Hacienda La Concepción 42160 San Juan Tilcuautla San Agustín Tlaxiaca,5810
1125,Revalidación de Estudios de Educación Media Superior,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42160 San Juan Tilcuautla San Agustín Tlaxiaca,2171
1128,Autorizaciones provisionales para profesionistas,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Circuito Ex Hacienda La Concepción 42186 San Juan Tilcuautla San Agustín Tlaxiaca,2807
1133,CURP (Clave Única de Registro de Población),Presencial,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,10110
1134,Registro de una institución de educación media superior y superior,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Agustín Tlaxiaca San Agustín Tlaxiaca,542
1135,Registro Profesional Estatal,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Agustín Tlaxiaca San Agustín Tlaxiaca,14106
1137,Registro de Perito,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 San Juan Tilcuautla 42186 San Agustín Tlaxiaca San Agustín Tlaxiaca,1608
1139,Carta de No Inconveniente para Incorporación a una Institución Educativa,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Agustín Tlaxiaca San Agustín Tlaxiaca,
1140,Informe de antecedentes profesionales,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Agustín Tlaxiaca San Agustín Tlaxiaca,272
1142,Registro como unidad receptora de servicio social,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Juan Tilcuautla San Agustín Tlaxiaca,3170
1143,Registro de Colegio de Profesionistas y Federación,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Juan Tilcuautla San Agustín Tlaxiaca,470
1145,Ampliaciones de autorizaciones para profesionistas,Presencial,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Agustín Tlaxiaca San Agustín Tlaxiaca,147
1147,Servicio Médico Hospitalario,Presencial,Secretaría de Salud,Secretaría de Salud,Carretera 101 Ciudad de los Niños 42070 Pachuca De Soto Pachuca De Soto,21256
1155,Análisis de muestras contra riesgos sanitarios en el Laboratorio Estatal de Salud Pública,Presencial,Secretaría de Salud,Secretaría de Salud,Boulevard S/N Parque de Poblamiento 42088 Pachuca De Soto Pachuca De Soto,916
1156,Análisis de muestras humanas en el Laboratorio Estatal de Salud Pública,Presencial,Secretaría de Salud,Secretaría de Salud,Boulevard S/N Parque de Poblamiento 42088 Pachuca De Soto Pachuca De Soto,463
1157,Análisis de muestras citológicas en el Laboratorio Estatal de Salud Pública,Presencial,Secretaría de Salud,Secretaría de Salud,Boulevard S/N Parque de Poblamiento 42088 Pachuca De Soto Pachuca De Soto,398
1159,Por la actualización de opiniones técnicas de factibilidad,Presencial,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 115 Revolución 42060 Pachuca De Soto Pachuca De Soto,443
1166,"Por la supervisión y la emisión de opiniones técnicas de establecimientos comerciales, industriales, de espectáculos públicos y de servicios instalados o que pretendan instalarse en el territorio del Estado",Presencial,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 115 Revolución 42090 Pachuca De Soto Pachuca De Soto,224
1167,Atención a Solicitudes de Componentes de la Sangre para la Atención de Pacientes,Presencial,Secretaría de Salud,Secretaría de Salud,Calle 1 Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,
1168,Por la supervisión y emisión de opiniones técnicas de factibilidad de usos de suelo de impacto significativo,Presencial,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 115 Revolución 42060 Pachuca De Soto Pachuca De Soto,1375
1169,Por la impartición de cursos de capacitación a personas físicas o morales del sector privado,Presencial,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 115 Revolución 42060 Pachuca De Soto Pachuca De Soto,537
1171,Atención a Personas que Acuden a Realizar Donación de Sangre,Presencial,Secretaría de Salud,Secretaría de Salud,Calle 1 Venta Prieta 42086 Pachuca De Soto Pachuca De Soto,
1172,"Por la supervisión y emisión de opiniones técnicas diversas relacionadas con Gas L.P., estaciones de carburación, bodega y derivados del Petróleo",Presencial,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 115 Revolución 42090 Pachuca De Soto Pachuca De Soto,435
1179,Apoyo Funcional y Subsidios en Especie a Personas Vulnerables sin Seguridad Social,Presencial,Secretaría de Salud,Secretaría de Salud,Boulevard 130 La Puerta de Hierro 42083 Pachuca De Soto Pachuca De Soto,
1180,Atención Integral a personas adultas mayores de 60 años en el Centro Estatal de Atención Geriátrica Integral (CESAGI),Presencial,Secretaría de Salud,Secretaría de Salud,Calle 707 Nueva Francisco I. Madero 42070 Pachuca De Soto Pachuca De Soto,4941
1181,Atención Integral a Mayores de 20 años con Enfermedades Crónico-Degenerativas (UNEME EC),Presencial,Secretaría de Salud,Secretaría de Salud,Avenida 7 y 17 Colosio I 42086 Pachuca De Soto Pachuca De Soto,1606
1184,Admisión UPT,Presencial,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,1047
1186,Asignación de espacios eventos y exposiciones Municipales,Presencial,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,Avenida S/N Juarez 42060 Pachuca De Soto Pachuca De Soto,
1188,Asignación de espacios (Punto de venta HIDARTE),Presencial,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,Avenida S/N Periodistas 42060 Pachuca De Soto Pachuca De Soto,
1189,Certificados de autenticidad de productos artesanales,Presencial,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,Avenida S/N Juarez 42060 Pachuca De Soto Pachuca De Soto,
1192,"Aviso de Previsiones de Compra Venta de Estupefacientes para Farmacias, Droguerías y Boticas",Presencial,Secretaría de Salud,Secretaría de Salud,Cerrada 115 Cubitos 42090 Pachuca De Soto Pachuca De Soto,
1193,"Solicitud de Licencia Sanitaria para Farmacias, o Boticas con Venta de Medicamentos Controlados",Presencial,Secretaría de Salud,Secretaría de Salud,Cerrada 115 Cubitos 42090 Pachuca De Soto Pachuca De Soto,
1203,Permiso de Libros de Control de Estupefacientes y Psicotrópicos,Presencial,Secretaría de Salud,Secretaría de Salud,Cerrada 115 Cubitos 42090 Pachuca De Soto Pachuca De Soto,
1205,Inscripción UPT,Presencial,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,1187
1206,Reinscripción UPT,Presencial,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,594
1207,Certificado de Calidad del Agua de Sistemas Públicos y Privados,Presencial,Secretaría de Salud,Secretaría de Salud,Cerrada 115 Cubitos 42090 Pachuca De Soto Pachuca De Soto,368
1209,Titulación UPT,Presencial,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,1045
1213,Solicitud de Licencia Sanitaria para servicios urbanos de fumigación y control de plagas.,Presencial,Secretaría de Salud,Secretaría de Salud,Cerrada 115 Cubitos 42090 Pachuca De Soto Pachuca De Soto,1476
1224,Autorización de Campañas o Jornadas Médicas para Prestación de Servicios de Salud.,Presencial,Secretaría de Salud,Secretaría de Salud,Cerrada 115 Cubitos 42090 Pachuca De Soto Pachuca De Soto,
1233,Inscripción UTHH,Presencial,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,Carretera s/n Tepoxteco 43000 Huejutla De Reyes Huejutla De Reyes,1211
1235,Reinscripción UTHH,Presencial,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,Carretera s/n Tepoxteco 43000 Huejutla De Reyes Huejutla De Reyes,1077
1244,(Inscripción y Reinscripción) por módulo CONALEPH.,Presencial,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle 4.5 Parque Industrial CANACINTRA 42083 El Saucillo Mineral De La Reforma,
1245,Examen de admisión de CONALEPH,Presencial,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle 4.5 Parque Industrial CANACINTRA 42083 El Saucillo Mineral De La Reforma,1778
1247,Póliza de Accidentes Personales Escolares en CONALEPH,Presencial,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle 4.5 Parque Industrial CANACINTRA 42083 Pachuquilla Mineral De La Reforma,364
1251,Asesorías Complementarias Intersemestrales CONALEPH,Presencial,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle S/N Industrial 42083 El Saucillo Mineral De La Reforma,569
1252,Asesorías Complementarias Semestrales CONALEPH,Presencial,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle S/N Chacón 42083 El Saucillo Mineral De La Reforma,371
1253,Cursos de capacitación,Presencial,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle Lt 17 San Juan tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,0
1255,Reposición de Credencial de CONALEPH,Presencial,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle 4.5 Parque Industrial CANACINTRA 42083 El Saucillo Mineral De La Reforma,293
