Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto
4808.0,Becas Institucionales UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,Boulevard 1009 San Javier 43860 Tolcayuca Tolcayuca,Social,87840,0,2,Nivel 1,46,0,100,FALSO
1690.0,Vinculación al Servicio Social y Prácticas Profesionales,Oficialía Mayor,Oficialía Mayor,Avenida 100 A Centro 42000 Pachuca De Soto Pachuca De Soto,Social,7200,1,1,,226,0,100,FALSO
6614.0,Ficha para Examen de Admisión UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Bárbara 43830 Zempoala Zempoala,Social,80,0,2,Nivel 3.7,281,250,52.91902072,VERDADERO
7969.0,Expedición de Credencial Escolar Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,Circuito Lote 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Social,30,0,1,Nivel 1,41,0,100,VERDADERO
10078.0,Inscripción registro de perito Topográfo (Catastral),Secretaría de Hacienda,Instituto Catastral,Calle 105 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,,172800,2,1,Nivel 1,0,0,0,VERDADERO
682.0,Consulta Documental en temas de Población,Secretaría de Gobierno,Consejo Estatal de Población,Calle 308 Periodistas 42060 Pachuca De Soto Pachuca De Soto,Social,1440,0,1,Nivel 1,23,0,100,FALSO
1448.0,Atención jurídica en materia familiar.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,Calle 118 San Carlos 42084 Pachuca De Soto Pachuca De Soto,Social,50,0,0,,0,0,0,FALSO
8260.0,Historial Académico UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,Calle S/N Tepoxtequito 43000 Huejutla De Reyes Huejutla De Reyes,Social,30,0,1,Nivel 2,100,0,100,VERDADERO
626.0,Información de Predios con Potencial para el Desarrollo de Parques Industriales.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,Carretera S/N Las Colonias 42083 Pachuca De Soto Pachuca De Soto,Empresarial,,0,0,,0,0,0,FALSO
10600.0,Constancia de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,Boulevard 3 Circuito de la Concepción 42162 San Agustín Tlaxiaca San Agustín Tlaxiaca,Social,7200,1,0,Nivel 1,10,0,100,VERDADERO
10617.0,"Capacitaciones, platicas o talleres sobre el cuidado y la conservación de la biodiversidad",Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,Boulevard 2005 Coscotitlán 42064 Pachuca De Soto Pachuca De Soto,Ambos,1440,1,0,Nivel 1,2,0,100,FALSO
8954.0,Estudio de prefactibilidad en polígonos para proyectos energéticos.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,Boulevard 222 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,Ambos,36000,1,3,Nivel 1,5,0,100,VERDADERO
7534.0,Servicios de Equinoterapia UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Ampliación S/N Santa Barbara 43830 Rancho Luna Zempoala,Social,60,0,3,Nivel 1,3,0,100,VERDADERO
1450.0,"Atención psicológica a mujeres en situación de violencia de género y, en su caso, a sus hijas e hijos menores de edad.",Secretaría de Gobierno,Centro de Justicia Para Mujeres,Calle 118 San Carlos 42084 Pachuca De Soto Pachuca De Soto,Social,50,0,0,,0,0,0,FALSO
7386.0,Sanitarios con Biodigestor Para Población Indígena,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),Calle 301 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,Social,,1,3,,22,0,100,FALSO
1383.0,Revalidación de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Juan Tilcuautla San Agustín Tlaxiaca,Social,11520,1,5,Nivel 4.1,9,0,100,VERDADERO
9885.0,Arrendamiento de salas y espacios en el Parque Científico y Tecnológico de Hidalgo (PCYTH),Organismos No Sectorizados,"Consejo de Ciencia, Tecnología e Innovación de Hidalgo (CITNOVA)",Boulevard 3 La Concepción 42162 San Agustín Tlaxiaca San Agustín Tlaxiaca,Ambos,1440,0,0,Nivel 1,9,9,50,VERDADERO
1447.0,Atención jurídica en materia penal.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,Calle 118 San Carlos 42084 Pachuca De Soto Pachuca De Soto,Social,50,0,0,,0,0,0,FALSO
7643.0,Titulación Nivel Posgrado (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,Boulevard 3 De la Concepción 42162 San Agustín Tlaxiaca San Agustín Tlaxiaca,Social,345600,1,0,Nivel 1,7,0,100,VERDADERO
10619.0,Monitoreo y opiniones técnica en materia de Biodiversidad,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,Boulevard 2005 Coscotitlán 42064 Pachuca De Soto Pachuca De Soto,Ambos,1440,1,0,Nivel 1,4,0,100,FALSO
615.0,Asesoría para la Inversión de Desarrollos Industriales Específicamente en Parques Industriales y Logísticos.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,Carretera S/N Las Colonias 42083 Pachuca De Soto Pachuca De Soto,Empresarial,,0,0,,0,0,0,FALSO
7583.0,Dictamen de Convalidación ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,"Calle sin numero El Saucillo Huichapan, Hgo. 42411 Huichapan Huichapan",Social,15840,1,4,Nivel 1,3,0,100,VERDADERO
11098.0,Certificado Parcial de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,Boulevard 3 Circuito de la Concepción 42162 San Agustín Tlaxiaca San Agustín Tlaxiaca,Social,7200,1,0,Nivel 1,10,0,100,VERDADERO
10616.0,Jardines Polinizadores ó farmacias vivientes,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,Calle 2005 Coscotitlán 42064 Pachuca De Soto Pachuca De Soto,Ambos,1440,1,0,Nivel 2,2,0,100,FALSO
426.0,Asesoría y Capacitación en Materia de Contraloría Social,Secretaría de Contraloría,Secretaría de Controlaría,Carretera Lote 4-B Fracción I Ex Hacienda La Concepción 42162 San Juan Tilcuautla San Agustín Tlaxiaca,Social,,0,0,,0,0,0,FALSO
462.0,Centros de Atención Infantil (CAI),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 104 Ex. Hacienda de Guadalupe 42000 Pachuca De Soto Pachuca De Soto,Social,,0,6,,6299,0,100,FALSO
499.0,Registro de Organizaciones de la Sociedad Civil de Asistencia Social,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 15 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,4,4,,2592,0,100,FALSO
554.0,Servicio Social DIF,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,0,2,,822,0,100,FALSO
925.0,Prevención Social de la Violencia y la Delincuencia.,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Calle S/N Fraccionamiento Colosio II 42039 Pachuca De Soto Pachuca De Soto,Ambos,8640,1,1,Nivel 1,294,0,100,FALSO
1177.0,Renovación anual del registro estatal de consultores en materia de protección civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,Calle 903 Revolución 42060 Pachuca De Soto Pachuca De Soto,Ambos,43200,0,0,Nivel 1,0,0,0,VERDADERO
1261.0,"Por la Suscripción al Periódico Oficial, por ejercicio fiscal vigente.",Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,480,0,0,Nivel 1,10,0,100,VERDADERO
1301.0,Expedición de Registro de Personal Docente de instituciones particulares de educación superior,Secretaría de Educación Pública,Secretaría de Educación Pública,Circuito Lote 17 Ex Hacienda La Concepción 42186 San Juan Tilcuautla San Agustín Tlaxiaca,Empresarial,14400,1,4,Nivel 4.1,816,0,100,VERDADERO
1477.0,Casa de la Mujer Hidalguense,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 103 Colosio I 42088 Pachuca De Soto Pachuca De Soto,Social,180,0,4,,6701,0,100,FALSO
1481.0,"Reporte de violencia o maltrato en contra de Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 118 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,0,0,,7955,0,100,FALSO
1776.0,Autorización Para el Uso y Aprovechamiento del Derecho de Vía Estatal,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard No. 1120 Villa Aquiles Serdan 42030 Pachuca De Soto Pachuca De Soto,Ambos,35,1,7,Nivel 1,50,8,86.20689655,VERDADERO
1777.0,Expedición de Oficio de Afectación o no Afectación del Derecho de Vía,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard No. 1120 Villa Aquiles Serdan 42000 Pachuca De Soto Pachuca De Soto,Ambos,25,1,2,Nivel 1,52,0,100,FALSO
1778.0,Expedición de Oficio de Afectación de Vialidades y Señalamiento por Accidentes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard No. 1120 Villa Aquiles Serdan 42030 Pachuca De Soto Pachuca De Soto,Ambos,20,1,2,Nivel 1,45,23,66.17647059,VERDADERO
4856.0,Expedición Tarjeta Preferente Tuzobús para Personas con Discapacidad,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,20,1,2,Nivel 1,129,0,100,VERDADERO
5572.0,"Por la certificación, expedición y entrega de un ejemplar del Periódico Oficial del Estado.",Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,480,0,0,Nivel 3.7,120,2,98.36065574,VERDADERO
6583.0,Devolución Vehículos Recuperados,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle Km 84.5 SPAUAH 42083 Pachuca De Soto Pachuca De Soto,Ambos,4320,0,5,Nivel 3.1,0,0,0,FALSO
6717.0,Convocatoria del Instituto de Formación Profesional,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Carretera Km. 0+500 San José Palma Gorda 42188 San José Palma Gorda Mineral De La Reforma,Social,64800,3,15,Nivel 1,177,238,42.65060241,FALSO
392.0,Inscripción al Padrón de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 0 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",Empresarial,21600,0,0,Nivel 1,0,0,0,VERDADERO
406.0,Inscripción al Padrón de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 0 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",Empresarial,,0,0,,0,0,0,VERDADERO
409.0,Revalidación del Registro de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 301 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",Empresarial,,0,0,,0,0,0,VERDADERO
412.0,Revalidación del Registro de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 0 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",Empresarial,21600,0,0,Nivel 1,0,0,0,VERDADERO
430.0,Prestación de servicios del Complejo Deportivo Revolución Mexicana del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle - Periodistas 42060 Pachuca De Soto Pachuca De Soto,Social,10,3,3,Nivel 2,1500,200,88.23529412,VERDADERO
435.0,Caja general del Sistema DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,10,0,0,,1315,0,100,FALSO
440.0,Capacitar con temas gerontológicos a los enlaces y/o personas que estén al frente de grupos de personas adultas mayores de los diferentes DIF Municipales.,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,7200,0,1,,1204,0,100,FALSO
470.0,Centros de Desarrollo Comunitario Urbanos (CDC),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 600 Morelos 42040 Pachuca De Soto Pachuca De Soto,Social,,0,0,,854,0,100,FALSO
475.0,"Acompañamiento, asistencia y seguimiento de proyectos de inversión",Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,Camino 305 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,Empresarial,60,1,0,Nivel 3.1,65,0,100,FALSO
476.0,Comercialización de prendas no desempeñadas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 104 El Palmar 42030 Pachuca De Soto Pachuca De Soto,Social,,0,0,,353,0,100,FALSO
482.0,Credencialización para Personas con Discapacidad Permanente,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N El Palmar 42088 Pachuca De Soto Pachuca De Soto,Social,,0,3,,8408,0,100,FALSO
484.0,"Apoyo con Estudios de gabinete, laboratorio y medicamentos",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,0,1,Nivel 1,259,0,100,FALSO
489.0,Apoyo de Gastos Funerarios,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,0,3,,612,0,100,FALSO
491.0,Jornadas Médicas de Subespecialidad,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,1,2,Nivel 1,616,0,100,FALSO
494.0,Ayudas Técnicas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N El Palmar 42080 Pachuca De Soto Pachuca De Soto,Social,,0,0,Nivel 1,1685,0,100,FALSO
500.0,Servicio de Atención Psicológica,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,0,0,Nivel 1,9689,0,100,FALSO
502.0,Servicio de Estacionamiento Plaza Independencia Reloj Monumental,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle S/N Centro 42000 Pachuca De Soto Pachuca De Soto,Social,,0,0,,2671,0,100,FALSO
553.0,Licencia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,30,2,8,Nivel 1,16,0,100,VERDADERO
560.0,Taller Laboratorio de Órtesis y Prótesis,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N El Palmar 42088 Pachuca De Soto Pachuca De Soto,Social,,0,2,Nivel 1,1230,0,100,FALSO
564.0,Consulta Médica en el Servicio de Urgencias en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,,0,1,Nivel 1,4250,0,100,FALSO
587.0,Por actualización o reexpedición de órdenes de escrituración,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,4,,0,0,0,VERDADERO
590.0,Autorización de Fusión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,20,1,7,Nivel 1,2,0,100,VERDADERO
592.0,Autorización de Subdivisión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,25,2,6,Nivel 1,2,2,50,VERDADERO
602.0,Autorización de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,30,1,14,Nivel 1,2,0,100,VERDADERO
606.0,Por trámite de avalúo y traslado de Dominio de la Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,5,,3,0,100,VERDADERO
609.0,Entrega de paquetes de Conejos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,"Carretera S/N Venta Prieta, Ex Centro Minero 42080 Pachuca De Soto Pachuca De Soto",Ambos,2880,1,1,Nivel 2,35,0,100,FALSO
616.0,Albergue del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,,0,0,Nivel 1,531,0,100,FALSO
617.0,Autorización de Relotificación de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,20,1,8,Nivel 1,2,0,100,VERDADERO
618.0,Alerta AMBER en Hidalgo,Procuraduría General de Justicia,Procuraduría General de Justicia,Carretera km. 84.5 La Herradura 42083 Pachuca De Soto Pachuca De Soto,Social,10,0,4,Nivel 3.5,0,0,0,FALSO
620.0,Autorización de Protocolización,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,20,1,4,Nivel 1,1,0,100,FALSO
621.0,Autorización de Venta de Lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,25,1,10,Nivel 1,103,1,99.03846154,VERDADERO
622.0,Autorización de Régimen de Propiedad en Condominio,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,30,1,11,Nivel 1,31,0,100,VERDADERO
629.0,Inscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,Avenida 1000 El 61 42830 El Carmen (La Mesita) Tula De Allende,Social,15,0,3,Nivel 1,2058,0,100,VERDADERO
632.0,Búsqueda de documentos en archivo y expedición de copias,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,15,1,1,,24,0,100,VERDADERO
633.0,Expedición de constancias de Propiedad y/o Posesión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,4,,0,0,0,VERDADERO
639.0,Dictamen de Estudio de impacto Urbano y Vial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,30,1,4,Nivel 1,11,0,100,VERDADERO
640.0,Reposición de Acta Entrega,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,3,Nivel 1,124,13,90.51094891,VERDADERO
642.0,Copias Certificadas y Simples,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,20,1,1,Nivel 1,0,0,0,VERDADERO
646.0,Copia de Plano,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,1,0,100,VERDADERO
648.0,Elaboración de Croquis de Localización por Lote,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,14,0,100,VERDADERO
659.0,Marcado de lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,0,0,0,VERDADERO
662.0,Entrega física del lote por segunda vez,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,5,0,100,VERDADERO
668.0,Levantamiento Topográfico,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,Social,30,1,1,,24,0,100,VERDADERO
674.0,Capacitación Acuícola y Pesquera,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,Carretera S/N Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Ambos,43200,1,0,Nivel 2,28,0,100,FALSO
706.0,Admisión UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera S/N El Nith 42300 Ixmiquilpan Ixmiquilpan,Social,1440,0,1,Nivel 1,1196,0,100,VERDADERO
738.0,Solicitud de baja temporal ó toma muerta del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,Social,,1,0,,39,1,97.5,FALSO
740.0,Director Responsable y Corresponsable Modalidad Registro de DRyC,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,Social,30,2,5,Nivel 1,48,0,100,VERDADERO
751.0,Instalación física de toma de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,Social,,0,1,,21,21,50,FALSO
764.0,"Asesoría de la Incubadora de Empresas del ICATHI, para iniciar o fortalecer un negocio",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,Calle Lote 17 San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,Ambos,60,0,1,Nivel 1,83,22,79.04761905,VERDADERO
771.0,Inscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,"Circuito Lote 17, San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca",Social,10,0,6,Nivel 1,13307,0,100,VERDADERO
778.0,Constancia de Persona Concesionaria y/o Permisionaria,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,Avenida 205 Sistema de Transporte Convencional 42083 Pachuca De Soto Pachuca De Soto,Social,,1,2,,0,0,0,VERDADERO
795.0,Inscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera s/n El Nith 42300 Ixmiquilpan Ixmiquilpan,Social,1440,0,2,Nivel 1,1482,0,100,VERDADERO
796.0,Reinscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Carretera s/n El Nith 42300 Ixmiquilpan Ixmiquilpan,Social,1440,0,1,Nivel 1,5294,0,100,VERDADERO
827.0,Otorgamiento o Renovación de Permisos del Servicio Privado y Complementario de Transporte de Personas y Bienes,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,Calle 205 Sistema de Transporte Convencional 42083 Pachuca De Soto Pachuca De Soto,Social,,1,10,,0,0,0,VERDADERO
862.0,Mediación y Conciliación en Materia Penal,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle S/N Colonias 42082 Pachuca De Soto Pachuca De Soto,Ambos,15,0,2,Nivel 3.1,8548,8013,51.61524063,FALSO
913.0,Inscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,Social,2880,0,1,Nivel 4.2,674,0,100,VERDADERO
917.0,Admisión UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,Social,2880,0,3,Nivel 4.2,1482,0,100,VERDADERO
944.0,Inscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,Social,30,1,4,Nivel 2,114,0,100,VERDADERO
947.0,Reinscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,Social,15,0,2,Nivel 1,4400,0,100,VERDADERO
954.0,Certificado de Normas Técnicas de Competencia Laboral en CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Calle Lt 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,Social,,0,2,Nivel 3.1,136,0,100,VERDADERO
960.0,Autorización para el trabajo de mayores de 15 años y menores de 16,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,Social,,2,4,,0,0,0,FALSO
979.0,Inscripción a cursos de inglés,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,40,1,2,Nivel 1,43,0,100,VERDADERO
988.0,Certificado de no Propiedad (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,Ambos,8640,2,1,,47334,0,100,VERDADERO
