Idtram,Tramite,TraNombre,Similitud (%),Visitas Totales,Solicitudes,Secretaria,Dependencia,Modalidad,Domicilio,tiempo_estimado_por_persona,unidad_tiempo,cantidad_atenciones_2022,cantidad_atenciones_2023,cantidad_atenciones_2024,nivel_digitalizacion,TipoTramite,TraPersona,TraResolucionesFavorables,TraResolucionesNegativas,NumRequisitos,NumFormatos,TraCosto,RangoMontoInicial,RangoMontoFinal,PermiteAgendarCita,AgendarCitaEnLinea,DescargaFormatos,ExisteAppTramite,ResolucionInmediata,Sector,QuienSolicita,ListRequisitos
606,Por trámite de avalúo y traslado de Dominio de la Comisión Estatal de Vivienda,Por trámite de avalúo y traslado de Dominio de la Comisión Estatal de Vivienda,100,2421,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Presencial,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,30,min,3,7,0,,Otro,Social,3,0,7,1,VERDADERO,,,,,1,0,0,,Representante legal | Interesado,"Identificación Oficial (IFE, INE o Pasaporte Vigente) | Contrato de compra venta, contrato de donación, contrato de permuta, re ubicación u otro. | Expedición de finiquito o Constancia de no adeudo actualizado | Acta entrega | Oficio de Avaluó y Traslado | Carta Constitutiva en caso de ser persona moral. | Documentación mediante la cual se acredite la personalidad de su representante legal, en caso de ser persona moral."
609,Entrega de paquetes de Conejos.,Entrega de Paquetes de Conejos,75.40983607,1298,0,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,Presencial,"Carretera S/N Venta Prieta, Ex Centro Minero 42080 Pachuca De Soto Pachuca De Soto",2,dias,120,200,2020,Nivel 2,Otro,Ambos,35,0,4,,FALSO,,,1,0,,,,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",Interesado,"Solicitud dirigida al Secretario de Agricultura y Desarrollo Rural | cudir al Centro de Fomento Agropecuario de Hidalgo (CEFOAH), Ubicado en Carretera Pachuca Ciudad Sahagún Km. 20 Ex Hacienda Rancho Luna, Municipio de Zempoala | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Clave Única de Registro de Población (CURP)"
616,Albergue del Hospital del Niño DIF Hidalgo,Albergue del Hospital del Niño DIF ,89.47368421,662,0,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Presencial,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,,dias,638,682,662,Nivel 1,,Social,531,0,2,,FALSO,,,0,0,,,,,Interesado,"Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
617,Autorización de Relotificación de Fraccionamiento,Autorización de Relotificación de Fraccionamiento,100,461,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Presencial,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,20,min,13,7,3,Nivel 1,Otro,Ambos,2,0,10,1,VERDADERO,,,0,0,1,,,,Representante legal | Interesado,Escrito libre de solicitud | recibo de pago de la primera autorización del fraccionamiento | plano autorizado y de la resolución de lotificación | escritura de protocolización de fraccionamiento | escritura del área de donación | Documentos que den cumplimiento a las condicionantes y obligaciones establecidas en la autorización inicial del fraccionamiento o subdivisión | Dos (2) juegos de planos del proyecto de relotificación | Comprobante de Pago del trámite | Certificado de Libertad de Gravamen | credencial vigente del Director Responsable y Corresponsable (DRyC)
618,Alerta AMBER en Hidalgo,Alerta AMBER en Hidalgo,100,3610,0,Procuraduría General de Justicia,Procuraduría General de Justicia,Presencial,Carretera km. 84.5 La Herradura 42083 Pachuca De Soto Pachuca De Soto,10,min,8,21,25,Nivel 3.5,Aviso,Social,0,0,6,,FALSO,,,,,,,,,Tutor | Padres,"Acudir a la agencia del ministerio público más cercana | Ser víctima del delito, persona ausente o desaparecida | Fotografía reciente de la víctima, persona ausente o desaparecida | La víctima debe ser menor de 18 años de edad | Proporcionar información suficiente sobre la víctima, así como datos de las circunstancias del hecho | Número de carpeta de investigación"
620,Autorización de Protocolización,Autorización de Protocolización,100,679,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Presencial,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,20,min,4,2,2,Nivel 1,Otro,Ambos,1,0,7,1,FALSO,,,0,0,1,,,,Representante legal | Interesado,Escrito libre de solicitud | Certificado de libertad de gravamen | Copia de la acreditación de la propiedad debidamente inscrita | Croquis de Localización | autorización de fraccionamiento o subdivisión con el plano autorizado | Factibilidad de Servicios | En caso de ser persona moral: Copia Certificada del Acta Constitutiva y/o Poder Notarial
621,Autorización de Venta de Lotes,Autorización de Venta de Lotes,100,1916,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Presencial,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,25,min,250,141,174,Nivel 1,Otro,Ambos,103,1,11,1,VERDADERO,,,0,0,1,,,,Representante legal | Interesado,Escrito libre de solicitud | autorización de fraccionamiento o subdivisión con el Plano autorizado | escritura de protocolización del fraccionamiento. | pago de derechos de servicios y planos autorizados por las dependencias correspondientes. | Fotografías del desarrollo | Oficio de terminación de obra | Procedimiento de entrega recepción al municipio | Garantía hipotecaria o fianza para el cumplimiento de sus obligaciones | Comprobante de Pago del trámite | Avance de Obras de Urbanización | escritura de donación
622,Autorización de Régimen de Propiedad en Condominio,Autorización de Régimen de Propiedad en Condominio,100,2471,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Presencial,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,30,min,43,50,31,Nivel 1,Otro,Ambos,31,0,15,1,VERDADERO,0.22,13.00,0,0,1,,,,Representante legal | Interesado,Escrito libre de solicitud | comprobante de pago actualizado del impuesto predial | comprobante de pago actualizado del agua potable. | planos arquitectónicos y/o de lotificación | Memoria descriptiva del proyecto. | proyecto de reglamento interno de condominio del inmueble | Libro de actas para su autorización por esta Secretaria | Fotografías del inmueble | escritura de protocolización de fraccionamiento | Comprobante de Pago del trámite | licencia de construcción y planos autorizados por el Municipio | Certificado de Libertad de Gravamen | Copia de identificación oficial del propietario y/o del solicitante o representante legal Registro Federal de Contribuyentes (R.F.C.) Domicilio fiscal Clave Única de Registro de Población (CURP) En caso de ser persona moral integrar Acta Constitutiva de la empresa | Poder Notarial | acreditación de la propiedad debidamente inscrita
629,Inscripción UTTT,Inscripción UTTT,100,2625,0,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,Presencial,Avenida 1000 El 61 42830 El Carmen (La Mesita) Tula De Allende,15,min,1871,2058,2098,Nivel 1,Inscripción,Social,2058,0,3,,VERDADERO,17.28,33.14,0,0,,,,,Interesado,Técnico Superior Universitario: | Ingeniería | Estudiantes extranjeros
632,Búsqueda de documentos en archivo y expedición de copias,Búsqueda de documentos en archivo y expedición de copias,100,281,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Presencial,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,15,min,34,35,6,,Otro,Social,24,0,3,1,VERDADERO,0.30,0.60,,,1,0,0,,Representante legal | Interesado,"Identificación Oficial (IFE, INE o Pasaporte Vigente) | Carta Constitutiva en caso de ser persona moral. | Documentación mediante la cual se acredite la personalidad de su representante legal, en caso de ser persona moral."
633,Expedición de constancias de Propiedad y/o Posesión,Expedición de constancias de Propiedad y/o Posesión,100,11990,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Presencial,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,30,min,0,0,0,,Otro,Social,0,0,7,1,VERDADERO,,,,,1,0,0,,Representante legal | Interesado,"Identificación Oficial (IFE, INE o Pasaporte Vigente) | Certificado de Existencia o Inexistencia de Gravamen vigente. | Contrato de compra venta, contrato de donación, contrato de permuta, re ubicación u otro. | Expedición de finiquito o Constancia de no adeudo actualizado | Acta Entrega. | Carta Constitutiva en caso de ser persona moral. | Documentación mediante la cual se acredite la personalidad de su representante legal, en caso de ser persona moral."
639,Dictamen de Estudio de impacto Urbano y Vial,Dictamen de Estudio de Impacto Urbano y Vial,81.81818182,2945,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Presencial,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,30,min,65,46,84,Nivel 1,Otro,Ambos,11,0,5,,VERDADERO,65.00,"2,600.00",0,0,,,,,Representante legal | Interesado,"Escrito libre de solicitud | Proyecto para el Estudio de Impacto Urbano y Vial de la acción urbana que se pretende, de acuerdo a los términos de referencia proporcionados por la Dirección General de Imagen y Desarrollo Urbano Sostenible | Datos del Solicitante | Comprobante de Pago del trámite | Copia por ambos lados de la credencial vigente del Director Responsable y Corresponsable (DRyC) con categoría de Planeación Urbana T1 o T2"
640,Reposición de Acta Entrega,Reposición de Acta Entrega,100,304,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Presencial,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,30,min,207,177,165,Nivel 1,Otro,Social,124,13,5,1,VERDADERO,,,,,1,0,0,,Representante legal | Interesado,"Identificación Oficial (IFE, INE o Pasaporte Vigente) | Documento que acredite la propiedad | Acta Entrega Recepción anterior (en caso de tenerla) | Expedición de finiquito o Constancia de no adeudo actualizado | Comprobante de Pago del trámite"
642,Copias Certificadas y Simples,Copias Certificadas y Simples,100,1325,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Presencial,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,20,min,23,27,32,Nivel 1,Otro,Ambos,0,0,2,,VERDADERO,0.01,156.00,0,0,,,,,Representante legal | Interesado,Escrito libre de solicitud | Comprobante de Pago del trámite
646,Copia de Plano,Copia de plano,71.42857143,502,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Presencial,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,30,min,12,4,3,,Otro,Social,1,0,3,1,VERDADERO,,,,,1,0,0,,Representante legal | Interesado,"Identificación Oficial (IFE, INE o Pasaporte Vigente) | Poder Notarial o Carta Constitutiva en caso de ser persona moral. | Comprobante de pago del trámite."
648,Elaboración de Croquis de Localización por Lote,Elaboración de croquis de localización por lote,65.95744681,1143,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Presencial,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,30,min,8,15,28,,Otro,Social,14,0,5,1,VERDADERO,,,,,1,0,0,,Representante legal | Interesado,"Identificación Oficial (IFE, INE o Pasaporte Vigente) | Poder Notarial o Carta Constitutiva en caso de ser persona moral. | Documento que acredite la propiedad | Comprobante de pago del trámite. | Documento impreso de la localización de la propiedad."
659,Marcado de lotes,Marcado de lotes,100,86,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Presencial,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,30,min,19,0,2,,Otro,Social,0,0,3,1,VERDADERO,,,,,1,0,0,,Representante legal | Interesado,"Identificación Oficial (IFE, INE o Pasaporte Vigente) | Documento que acredite la propiedad. | Comprobante de Pago del trámite"
662,Entrega física del lote por segunda vez,Entrega física de lote por segunda vez,98.7012987,147,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Presencial,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,30,min,15,6,21,,Otro,Social,5,0,2,1,VERDADERO,,,,,1,0,0,,Representante legal | Interesado,"Identificación Oficial (IFE, INE o Pasaporte Vigente) | Comprobante de Pago del trámite"
668,Levantamiento Topográfico,Levantamiento Topográfico ,100,2901,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,Presencial,Boulevard 117 El Palmar I 42088 Pachuca De Soto Pachuca De Soto,30,min,15,6,1,,Otro,Social,24,0,3,1,VERDADERO,"1,504.80","2,407.10",1,0,0,,,,Representante legal | Interesado | Tercero con carta poder,"Escrituras del Predio | Oficio de solicitud | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
674,Capacitación Acuícola y Pesquera,Capacitación Acuícola y Pesquera,100,759,0,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,Presencial,Carretera S/N Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,30,dias,60,100,120,Nivel 2,Asesoría,Ambos,28,0,2,,FALSO,,,1,0,,,,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",Representante legal | Interesado,"Ingresar solicitud de apoyo original dirigida al Secretario de Agricultura y Desarrollo Rural | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
706,Admisión UTVM,Admisión UTVM,100,375,0,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Presencial,Carretera S/N El Nith 42300 Ixmiquilpan Ixmiquilpan,1,dias,1520,1715,1837,Nivel 1,Examen,Social,1196,0,2,,VERDADERO,,,,,,1,1,,Interesado,Clave Única de Registro de Población (CURP) | Pago de derechos
738,Solicitud de baja temporal ó toma muerta del servicio de agua potable.,Solicitud de baja temporal o toma muerta del servicio de agua potable.,97.14285714,1736,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Presencial,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,,,,,,,Cancelación,Social,39,1,1,1,FALSO,,,0,0,0,,,,Interesado | Tercero con carta poder,"Identificación Oficial (IFE, INE o Pasaporte Vigente)"
740,Director Responsable y Corresponsable Modalidad Registro de DRyC,Registro de Director Responsable y Corresponsable,86.72566372,4144,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Presencial,Boulevard km. 93.5 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,30,min,50,48,77,Nivel 1,Credencial,Social,48,0,8,,VERDADERO,,,0,0,,,,,Interesado,Escrito libre de solicitud | Datos del Solicitante | Título profesional | Cédula Profesional | Registro profesional estatal | Curriculum Vitae (Personal) | Constancia de capacitación | Comprobante de Pago del trámite
751,Instalación física de toma de agua potable.,Instalación física de la toma de agua potable.,96.62921348,505,0,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Presencial,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,,,,,,,Verificación,Social,21,21,1,,FALSO,,,0,0,,,,,Interesado | Tercero con carta poder,Datos del Predio
764,"Asesoría de la Incubadora de Empresas del ICATHI, para iniciar o fortalecer un negocio","Asesoría de la Incubadora de Empresas del ICATHI, para iniciar o fortalecer un negocio",100,495,0,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,Presencial,Calle Lote 17 San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,1,hrs,99,105,112,Nivel 1,Asesoría,Ambos,83,22,4,,VERDADERO,,,,,,0,0,,Interesado,"Comprobante de Domicilio | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Comprobante de Pago del trámite"
771,Inscripción COBAEH,Inscripción COBAEH,100,22859,0,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,Presencial,"Circuito Lote 17, San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca",10,min,13901,13307,12385,Nivel 1,Inscripción,Social,13307,0,10,,VERDADERO,175.00,400.00,0,0,,,,,Interesado | Tutor | Padres,"Acta de nacimiento | Original y 1 copia de certificado de secundaria. | Certificado Médico | Original de carta de buena conducta | Clave Única de Registro de Población (CURP) | 1 Fotografía digital | Comprobante de Domicilio | 1 Copia del Número de Seguridad Social del IMSS. | 1 Copia de identificación oficial del Padre o Tutor. | Recibo de pago correspondiente, de acuerdo a lo establecido en Cuotas y Tarifas autorizadas para el Colegio."
778,Constancia de Persona Concesionaria y/o Permisionaria,Constancia de Concesionario y/o Permisionario,89.79591837,370,0,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,Presencial,Avenida 205 Sistema de Transporte Convencional 42083 Pachuca De Soto Pachuca De Soto,,,,,,,Otro,Social,0,0,4,1,VERDADERO,1.00,1.00,0,0,0,,,,Interesado,"1. Solicitud General para Trámites. | Identificación Oficial (IFE, INE o Pasaporte Vigente) | 3. Copia de Tarjeta de circulación. | 4. Comprobante de pago del trámite solicitado"
795,Inscripción UTVM,Inscripción UTVM,100,2447,0,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Presencial,Carretera s/n El Nith 42300 Ixmiquilpan Ixmiquilpan,1,dias,1343,1482,1625,Nivel 1,Inscripción,Social,1482,0,4,,VERDADERO,,,,,,1,0,,Interesado,Acta de nacimiento | Certificado de bachillerato | Clave Única de Registro de Población (CURP) | Cubrir pago de derechos
796,Reinscripción UTVM,Reinscripción UTVM,100,385,0,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Presencial,Carretera s/n El Nith 42300 Ixmiquilpan Ixmiquilpan,1,dias,5851,6097,6393,Nivel 1,Reinscripción,Social,5294,0,2,,VERDADERO,,,,,,1,1,,Interesado,Ser estudiante activo | Cubrir pago de derechos.
827,Otorgamiento o Renovación de Permisos del Servicio Privado y Complementario de Transporte de Personas y Bienes,Otorgamiento o Renovación de Permisos del Servicio Privado y Complementario de Transporte de personas y bienes,85.45454545,2574,0,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,Presencial,Calle 205 Sistema de Transporte Convencional 42083 Pachuca De Soto Pachuca De Soto,,,,,,,Otro,Social,0,0,16,1,VERDADERO,38.00,351.00,0,0,0,,,,Interesado,"1. Solicitud General para Trámites. | Acta constitutiva | Identificación Oficial (IFE, INE o Pasaporte Vigente) | 4. Constancia de Situación Fiscal (no mayor a 3 meses). | Comprobante de Domicilio | 6. Constancia de NO antecedentes penales (Original no mayor a un mes). | Licencia de conducir | 8. Tarjetón vigente emitido por el Sistema de Transporte Convencional de Hidalgo. | 9. Factura expedida a nombre del solicitante o endosada a su favor. | 10. Tarjeta de circulación o baja. | 11. Recibo de último pago de tenencia. | 12. Verificación actual o carta compromiso. | 13. Póliza de seguro vigente con su pago original. | 14. Si cambió motor deberá presentar factura del mismo a nombre del solicitante. | 15. Fotos de los 4 lados de la unidad | 16. Inspección Vehicular."
862,Mediación y Conciliación en Materia Penal,Mediación y Conciliación en Materia Penal,100,5646,0,Procuraduría General de Justicia,Procuraduría General de Justicia,Presencial,Calle S/N Colonias 42082 Pachuca De Soto Pachuca De Soto,15,min,1,7,12,Nivel 3.1,Otro,Ambos,8548,8013,4,,FALSO,,,0,0,,,,,Representante legal | Interesado | Tutor | Padres,"Inicio de denuncia o querella | Asunto susceptible de Mecanismos Alternativos de Soluciòn | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Nombre completo y domicilio"
913,Inscripción UTT,Inscripción UTT,100,243,0,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Presencial,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,2,dias,808,687,854,Nivel 4.2,Inscripción,Social,674,0,2,,VERDADERO,,,,,,0,0,,Interesado,Ser alumno Aceptado | Comprobante de Pago del trámite
917,Admisión UTT,Admisión UTT,100,715,0,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Presencial,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,2,dias,1187,1213,1273,Nivel 4.2,Examen,Social,1482,0,6,,VERDADERO,,,,,,0,0,,Interesado,Ser Egresado de la educación media superior o equivalente | Comprobante de Pago del trámite | Constancia de estudios | Acta de nacimiento | Clave Única de Registro de Población (CURP) | Comprobante de Domicilio
944,Inscripción UPP,Inscripción UPP,100,3553,0,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Presencial,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,30,min,2,3,4,Nivel 2,Inscripción,Social,114,0,7,1,VERDADERO,16.57,71.01,0,0,0,,,,Interesado,"Acta de nacimiento | Certificado de nivel Medio Superior con un promedio mínimo de 7.0 para Programas Educativos de Ingeniería y de la Licenciatura en Terapia Física; un promedio mínimo de 8.0 para la Licenciatura en Médico Cirujano. | Certificado Médico | Clave Única de Registro de Población (CURP) | Constancia de Vigencia de Derechos del IMSS. | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Comprobante de Pago del trámite"
947,Reinscripción UPP,Reinscripción UPP,100,636,0,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Presencial,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,15,min,0,4,6,Nivel 1,Reinscripción,Social,4400,0,2,,VERDADERO,16.57,71.01,0,0,,,,,Interesado,Descargar e imprimir desde el SIIUPP la forma de pago | Comprobante de Pago del trámite
954,Certificado de Normas Técnicas de Competencia Laboral en CONALEPH,Certificado de Normas Técnicas de Competencia Laboral en CONALEPH,100,193,0,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Presencial,Calle Lt 17 San Juan Tilcuautla 42160 San Juan Tilcuautla San Agustín Tlaxiaca,,dias,,,,Nivel 3.1,Certificación,Social,136,0,5,,VERDADERO,"1,452.08","4,771.12",0,0,,,,,Interesado,"Comprobante de Pago del trámite | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Comprobante de Domicilio | Fotografías del solicitante"
960,Autorización para el trabajo de mayores de 15 años y menores de 16,"Autorización para el trabajo de mayores de 15 años y menores de 16	",100,1242,0,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Presencial,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,,,,,,,Autorización,Social,0,0,5,2,FALSO,,,0,0,0,,,,Tutor | Padres,Acta de nacimiento | Clave Única de Registro de Población (CURP) | Constancia de estudios | Certificado Médico | Fotografías del solicitante
979,Inscripción a cursos de inglés,Inscripción a cursos de inglés.,98.36065574,1499,0,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Presencial,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,40,min,15,43,42,Nivel 1,Inscripción,Social,43,0,4,1,VERDADERO,5.58,26.78,,,1,1,1,,Interesado,"Requisitar cédula de inscripción. | Comprobante de Pago del trámite | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Acta de nacimiento"
988,Certificado de no Propiedad (Registro Público de la Propiedad y del Comercio),Certificado de no Propiedad (Registro Público de la Propiedad y del Comercio),100,809,0,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Presencial,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,6,dias,528,531,587,,Certificación,Ambos,47334,0,5,,VERDADERO,,,0,0,,,,,Otro,"Solicitud de ingreso | Comprobante de Pago del trámite | Solicitud por escrito | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
989,Certificado de Única Propiedad (Registro Público de la Propiedad y del Comercio),Certificado de Única Propiedad (Registro Público de la Propiedad y del Comercio) (Personas Morales) ,89.38547486,262,0,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Presencial,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,6,dias,110,106,138,Nivel 3.5,Certificación,Ambos,47334,0,5,,VERDADERO,706.00,"2,117.00",0,0,,,,,Otro,"Solicitud de ingreso | Comprobante de Pago del trámite | Solicitud por escrito que debe contener: Nombre del Titular Registral, ubicación del inmueble, datos de inscripción y tipo de certificación solicitada | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
991,Informes sobre Inscripción de Testamentos (Registro Público de la Propiedad y del Comercio),Informes sobre Inscripción de Testamentos (Registro Público de la Propiedad y del Comercio),100,815,0,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Presencial,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,15,dias,3698,3624,3762,Nivel 3.5,Otro,Ambos,47334,0,5,,VERDADERO,,,0,0,,,,,Otro,"Solicitud de ingreso | Comprobante de Pago del trámite | Solicitud de autoridad competente | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
993,Inscripción de Accesión de Terrenos Rústicos (Registro Público de la Propiedad y del Comercio),Inscripción de Accesión de Terrenos Rústicos (Registro Público de la Propiedad y del Comercio),100,209,0,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Presencial,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,,dias,,,,Nivel 3.5,Otro,Ambos,47334,0,10,,VERDADERO,,,0,0,,,,,Otro,"solicitud de ingreso | Testimonio y dos copias | El plano o croquis de localización general e individual del inmueble correspondiente | El certificado de gravámenes previamente obtenido y vigente al momento de la presentación del documento | El certifica valor fiscal vigente a favor del adquirente | Avalúo catastral, expedido por la Presidencia Municipal | Avalúo bancario | Comprobante de Pago del trámite | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
997,"Inscripción de Actos Mercantiles, Rectificación (Registro Público de la Propiedad y del Comercio)","Inscripción de Actos Mercantiles, Rectificación (Registro Público de la Propiedad y del Comercio)",100,236,0,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Presencial,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,15,dias,32,51,55,Nivel 3.5,Inscripción,Ambos,47334,0,6,,VERDADERO,,,0,0,,,,,Otro,"Solicitud de ingreso | Comprobante de Pago del trámite | Convenio modificado | Testimonio o póliza en original y dos copias | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
1003,Inscripción de Contratos que transmiten la Propiedad de Muebles con Limitaciones. (Registro Público de la Propiedad y del Comercio),Inscripción de Contratos que Transmiten la Propiedad de Muebles con Limitaciones (Registro Público de la Propiedad y del Comercio),91.18773946,252,0,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,Presencial,Avenida 907 Las Terrazas 42094 Pachuca De Soto Pachuca De Soto,15,dias,1324,1385,1488,Nivel 3.5,Otro,Ambos,47334,0,6,,VERDADERO,,,0,0,,,,,Otro,"Solicitud de ingreso | Comprobante de Pago del trámite | Factura, Título o Contrato de Compra-Venta original | Pacto de reserva de propiedad, la cláusula resolutoria o la constitución de prenda cuando existe limitación | Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
